iter,train_loss,homology_layer_0,homology_layer_1,homology_layer_2,homology_layer_3,homology_layer_4,homology_layer_5,avg_homology_score,val_loss,perplexity
0,4.1543378829956055,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,tensor(4.1558),63.805351045551475
100,3.3483171463012695,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-10.361632917973205,,
200,2.8983030319213867,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-13.815510557630938,,
300,2.5413248538970947,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-17.269388197288674,,
400,2.0598862171173096,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-17.269388197288674,,
500,0.5485919713973999,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
600,0.12115775793790817,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
700,0.08080839365720749,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
800,0.07090906798839569,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
900,0.06925400346517563,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1000,0.06271498650312424,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,tensor(0.0426),1.0434783988529264
1100,0.06581305712461472,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1200,0.05836152285337448,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
1300,0.05244996026158333,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1400,0.04669222608208656,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1500,0.04651988670229912,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1600,0.04450612515211105,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1700,0.04633231461048126,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1800,0.04369814693927765,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
1900,0.04156538099050522,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2000,0.04122959077358246,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,tensor(0.0377),1.0383799026364013
2100,0.04282230883836746,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2200,0.03917422145605087,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2300,0.04164954274892807,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2400,0.04013915732502937,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2500,0.038329750299453735,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2600,0.03880269452929497,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2700,0.03624763712286949,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2800,0.03460696339607239,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
2900,0.038701754063367844,0.48121182567763754,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.827553307535864,,
3000,0.035373881459236145,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,tensor(0.0348),1.0354305731268225
